0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.003931791,-0.20557049,0.29592484,0.05392806,0.009360961,-0.012086454,-0.031671368,-0.023632025,0.02536698,0.05713992,0.04812485,0.04424313,0.0055133686,-0.051480133,0.029293431,-0.16267915,0.012548584,0.3365846,0.04607135,-0.01261472,0.010233764,0.014608975,-0.023110727,0.026298659,-0.013239997,0.022064704,-0.015440277,0.11258863,0.041738674,0.028626481,-0.0003702324,0.0055022235
0.028038286,-0.06995026,0.031648785,0.021545881,-0.020922124,-0.029112445,-0.052468415,-0.018894296,-0.0067728483,0.048821986,-0.008551875,0.038297903,-0.03246225,-0.036508117,0.0413073,-0.09633199,0.008841418,0.031457864,0.029117627,-0.020699184,0.036823448,-0.10403213,-0.01613175,0.04805298,-0.011028044,0.028010735,0.0022260211,0.031239292,0.11829911,0.013053801,0.030546602,0.03806722
-0.11039128,-0.20054668,0.28668293,0.06460062,-0.00568688,0.009495863,-0.044737455,-0.031711068,-0.004186125,0.04817005,0.003612507,0.048999213,-0.018428378,-0.052662537,0.16953318,-0.08540031,0.022222517,0.27759394,0.2850287,-0.057768658,-0.010059802,-0.03311094,-0.029442253,0.05571662,-0.0014237484,0.06710373,-0.07778903,0.0315156,0.024038214,0.0016495195,0.009816819,0.01288644
-0.07027847,-0.30329227,0.21145564,-0.03374032,-0.026875101,-0.06577873,0.0313241,0.0024283426,-0.015707996,0.062415574,-0.039298154,-0.028477872,-0.05209543,0.018964512,0.044163957,-0.21064551,0.060248807,0.09730123,0.069990784,-0.03958341,-0.032426033,0.007766387,0.02822886,-0.027300341,0.020322766,0.049823508,-0.045085687,0.0996131,0.08971862,-0.03608641,0.04893496,-0.034093738
-0.050918587,-0.05536105,0.036833316,0.026944015,0.031696096,-0.021639466,-0.038673185,-0.03546942,0.033942323,0.02115034,0.01810539,0.026041012,-0.017300993,-0.022860242,-0.031119114,-0.02282346,0.08451878,0.02157751,0.38130206,0.02078805,0.02655642,-0.034298077,0.024862817,0.035518903,-0.03197503,0.032911293,-0.02600175,0.023388982,0.016006337,0.02523519,0.033165623,-0.039247863
-0.042270597,-0.17506929,0.279291,-0.023072831,-0.030755477,-0.02571766,0.029436978,0.010276419,-0.027749943,0.060399234,-0.025772383,-0.0069806757,-0.03322294,-0.076354116,0.037446503,-0.10843459,0.06121817,0.059954546,0.06411151,0.013158372,-0.017306551,-0.027309518,0.01496359,-0.018580155,0.01882745,0.06011021,-0.041884772,0.2135069,0.05041891,-0.011115899,0.048853178,-0.022766856
-0.13919993,-0.2424325,0.17196268,-0.036890097,-0.07536198,0.014384543,0.015754027,0.005325868,-0.010800271,0.18627332,-0.027414542,-0.015416591,-0.07939457,0.0033361004,0.09608671,-0.05787318,0.078389436,0.033264674,0.32091537,-0.029791093,-0.036530335,0.023069113,-0.02193182,-0.023271369,0.022237048,-0.016164597,-0.053015567,0.009297647,-0.013656346,-0.015266246,0.013321471,0.005224541
-0.009298004,-0.19359903,0.19339244,0.00427372,-0.0254969,-0.01522975,0.07029155,0.024099344,-0.08633783,0.030038252,0.0140433265,-0.017860852,-0.050898775,0.011378204,0.05060931,-0.13855293,0.10918477,0.1807247,0.32492748,0.041389342,-0.051486284,0.035736285,0.016499046,-0.01951848,-0.017436288,0.032027263,-0.0022179047,0.041875433,0.06585645,0.01848582,0.044199336,-0.023605403
0.007812198,-0.02565307,0.03546012,-0.030093536,-0.034175728,0.030792538,0.04421441,-0.015103191,-0.025011579,0.025647247,-0.03872438,0.025173841,-0.03712189,0.015950084,0.044870026,-0.006529726,0.04074804,0.042028654,0.039185137,-0.018813983,0.021632833,0.020171076,-0.03278749,0.032902785,-0.026368242,-0.016188502,0.013483056,0.017353378,-0.020022053,0.010434635,0.04652217,0.015001733
-0.013722658,-0.1651064,0.2831494,0.07684409,0.016221492,-0.00028624077,-0.05797035,-0.045217156,0.0027957372,-0.017969377,0.044428434,0.037306104,0.02203291,-0.0325207,0.011602529,-0.07359172,-0.010097613,0.07761163,0.03820228,-0.00027383826,0.007509327,0.003973184,-0.028799959,0.04464341,-0.0018779709,0.02277152,0.009595886,0.01716006,0.027242864,0.018214526,-0.04795357,0.031745877
-0.047956795,-0.19050995,0.1871729,0.009341739,-0.026048867,-0.016112546,0.020018822,0.004364004,-0.020313412,0.060869016,-0.022647597,-0.014481501,-0.043932643,0.011118368,0.047926612,-0.051324867,0.037045773,0.056121755,0.056994174,0.015783763,-0.016906448,-0.037947323,0.022841562,-0.02234449,0.023934284,0.021122128,-0.035879925,0.04283055,0.027887939,-0.037616864,0.036180135,-0.025775868
-0.0037946156,-0.21421933,0.1856992,0.09838289,-0.053960107,-0.049258195,-0.057883624,0.03128838,0.03348497,0.055551443,0.013329932,-0.007356872,-0.08566863,0.014739994,0.033907276,-0.23043093,0.063941136,0.19300039,0.1382914,0.018487608,-0.013872944,0.020168057,0.034628686,-0.021400822,-0.034911245,0.13830133,0.025603848,0.029936865,0.10322358,0.017159315,0.042693425,-0.022434102
0.011405998,-0.09380041,0.067214675,-0.010043786,-0.00236492,0.010236656,0.02630164,0.006444702,-0.022845851,0.007673566,0.0033422722,0.021454621,-0.0030071302,0.034514528,0.017060058,-0.010263413,-0.0056733596,-0.0014145618,0.025844034,-0.03227314,0.007664474,0.01984516,-0.024759132,0.012874328,-0.021621699,-0.013713419,0.024585389,0.0039005636,-0.017364966,-0.008936758,-0.008713566,0.027206318
-0.06841206,-0.29352552,0.2503638,-0.024918202,-0.052323483,-0.032850478,0.0134710185,-0.017699288,-0.01852795,0.066814594,-0.025023153,-0.016898042,-0.044663556,-0.040667605,0.07547354,-0.1185397,0.05480085,0.1117968,0.08996043,-0.008717183,-0.020599477,-0.009030382,0.013334028,0.019961737,0.035772394,0.07418993,-0.038527355,0.17624064,0.053909656,-0.029870316,0.037612937,-0.012199757
-0.05404255,-0.24568692,0.09848243,-0.040173184,-0.057940137,-0.01375885,0.029034933,0.052814145,-0.024441509,0.08950222,0.001565272,-0.025783421,-0.050841916,-0.0013864159,0.09784376,-0.1410295,0.023972714,0.09064572,0.13484013,0.02576826,-0.049590755,0.040091567,-0.0013157125,-0.019070046,0.008033227,0.11925116,-0.030886492,0.022997294,0.04803019,-0.044208683,0.04844027,-0.025943793
