group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Layer 8,Apoc2,20.187683,0.075758696,1.2561896636189514e-90,6.368881594548084e-88,1.0,0.99958365137742
Layer 8,Fbp1,19.716532,0.095745146,1.5553410891866855e-86,7.278996297393687e-84,0.9988888888888889,0.9972243425161335
Layer 8,Hpx,19.221672,0.03885626,2.437888886891627e-82,1.0594368562749043e-79,1.0,1.0
Layer 8,Traf5,18.991615,0.07398175,2.0007790550078566e-80,8.492609142326372e-78,0.9983333333333333,0.9988897370064534
Layer 8,Aldob,18.936216,0.054464843,5.737609035087903e-80,2.3800645479187365e-77,1.0,0.9998612171258067
Layer 8,Alb,18.904125,0.034535047,1.054757412364603e-79,4.27809606455083e-77,1.0,1.0
Layer 8,Pck1,18.739433,0.08087683,2.3612771560533575e-78,9.369137098323018e-76,1.0,0.9986121712580668
Layer 9,Mup20,50.0326,0.21355756,0.0,0.0,1.0,1.0
Layer 9,Cyp2f2,46.945816,0.53689843,0.0,0.0,0.9966685174902832,0.9655100624566273
Layer 9,Hsd17b13,45.84104,0.55942816,0.0,0.0,0.9933370349805664,0.9537820957668286
Layer 9,Bhmt,40.54069,0.14140256,0.0,0.0,1.0,0.9999306037473976
Layer 9,Gm5096,40.3216,0.14540514,0.0,0.0,1.0,0.9998612074947952
Layer 9,Hal,37.092407,0.809566,3.7241155143087024e-301,4.855182597654459e-298,0.9572459744586341,0.815267175572519
Layer 9,Selenbp2,35.77583,0.3732596,2.6246437516250446e-280,2.817941044391783e-277,0.9883398112159911,0.9755725190839695
Layer 9,Selenop,33.886436,0.091847904,1.0553202044800857e-251,8.755320169168419e-249,1.0,1.0
Layer 9,Pck1,33.834457,0.14894807,6.144200239910627e-251,4.875823599080381e-248,0.9988895058300944,0.9987508674531576
Layer 9,Sds,33.17699,1.1293461,2.3120136074307204e-241,1.6230335524163656e-238,0.8573014991671294,0.5875780707841777
Layer 9,Aldob,32.72171,0.10981148,7.671840657151741e-235,5.000944131226199e-232,1.0,0.9998612074947952
Layer 9,Hpx,32.655014,0.08235753,6.802213544558957e-234,4.2811724694927613e-231,1.0,1.0
Layer 9,Trf,32.53247,0.076072976,3.706112336976659e-232,2.2547987458165992e-229,1.0,1.0
Layer 9,Mup3,32.529842,0.07960462,4.0371573651922146e-232,2.3769740719189775e-229,1.0,1.0
Layer 9,Arg1,32.250355,0.25651076,3.478004052688344e-228,1.9837665615521143e-225,0.9983342587451416,0.9904927133934768
Layer 9,Alb,31.217875,0.07483598,6.09565360696983e-214,3.1787962752689525e-211,1.0,1.0
Layer 9,Apoa5,30.723991,0.1075601,2.7221378317590468e-207,1.3801238807018367e-204,0.9988895058300944,0.9994448299791812
Layer 9,Ly6e,29.79256,0.4369639,4.877138067476866e-195,2.3425664212523097e-192,0.963353692393115,0.9295628036086051
Layer 9,Apoc2,29.416359,0.118212506,3.3925267038444836e-190,1.5480099349642378e-187,1.0,0.9995836224843858
Layer 9,Slc25a47,28.712317,0.24368955,2.677890878125159e-181,1.136671262966056e-178,0.9938922820655192,0.9854267869535045
